id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
57999394,9466863791713,"** Bộ ga gối cotton Tici gồm: - 01 Ga/Drap bo thun theo kích thước theo yêu cầu- 02 Vỏ gối nằm kích thước 50 x 70 cm** Bộ ga gối Cotton tici ( hay còn gọi là cotton thô, hay cotton đũi). Chất liệu vải...",189000,229000,,40000,17,407,,available,,1000,1000,,697923,LIDACO
169978766,5015419822189,THÔNG TIN SẢN PHẨM- Tên sản phẩm: Túi Hút Chân Không Deli- Chất liệu: Nhựa Cao cấp- Kích thước: Size S: 60 x 40 cm (Dài x Rộng)Size M: 70 x 50 cm (Dài x Rộng)Size L: 80 x 60 cm (Dài x Rộng)Size ...,18000,32220,,14220,44,129,,available,,1000,1000,,46703,Deli
47108061,5633038506180,Giới thiệu Bộ 100 túi hút chân không một mặt nhámTúi PA/PE hút chân không là các túi dùng để bảo quản thực phẩm bên trong và được xử lý theo công nghệ rút chân không bằng máy hút chân không chuyên dụ...,61700,65000,,3300,5,111,,available,,1000,1000,,111461,OEM
176598081,9413822411143,Bình giữ nhiệt LocknLock Metro Two Way 475ml đi kèm với một nắp thuận tiện để uống trong văn phòng và một nắp to-go kín hơi dễ dàng mang đi.Bạn có thể tháo rời nắp giữa để bình trở nên gọn nhẹ hơn....,300000,605000,,305000,50,167,,available,,1000,1000,,48077,LocknLock
202611094,3025474464370,Bộ 2 hộp Thủy Tinh Chịu Nhiệt Lock&Lock LCB425 + LCB425C dễ dàng nấu ăn với lò vi sóng.Có thể giữ thực phẩm tươi lâu hơn nhờ công nghệ Lock & Lock Air-tight;Không tự nổ và không gây độc hại ...,179000,387000,,208000,54,14,,available,,1000,1000,,48077,LocknLock
1398733,1012204019527,"Cây Lau Nhà Dạng Đứng Lock&Lock ETM461 ứng dụng công nghệ hơi nước hiện đại giúp bạn dễ dàng lau chùi những vết bẩn cứng đầu nhất trên sàn nhà chỉ với một lần lau, tiết kiệm thời gian cũng như...",277000,539000,,262000,49,0,,available,,1000,1000,,48077,LocknLock
183907622,5312017804399,"LĂN BỤI QUẦN ÁO, GHẾ SOFE- Dùng để lau bụi dính ở quần áo, đặc biệt các chất dính len, dạ bị dính do giặt chung các loại quần áo với nhau.- Đặc biệt nhà ai nuôi chó mèo tì cực kỳ hữu hiệu.- Cây lăn...",49000,85000,,36000,42,60,,available,,1000,1000,,4820811,PEAFLO
58357614,3432364889774,"1. Đặc điểm nổi bậc của bắt muỗi, ruồi và côn trùng hiệu Con Dơi - Tiêu diệt muỗi cả ban ngày và ban đêm ( đèn bắt muỗi thông thường không bắt được muỗi ban ngày) muỗi ban ngày mới thực sự là muỗi độc...",420000,420000,,0,0,905,,available,,1000,1000,,304627,CON DƠI
21441057,9944927310617,"Chảo Chống Dính Đá Sunhouse SBD18 được tin dùng bởi công năng tuyệt vời, độ chống dính cao cùng với kết cấu bền chắc. Bề mặt phủ lớp đá Marble khiến cho tổng quan sản phẩm đẹp mắt, ấn tượng và nổi bật...",186000,283000,,97000,34,734,,available,,1000,1000,,41048,Sunhouse
55630076,8809518360598,"Miếng lót ly vô cùng độc đáo được làm từ đá Diatomite siêu thấm nước.Ngoài chức năng siêu thấm, đế lót ly được in thêm các hoạ tiết siêu dễ thương.Là sản phẩm rất đáng có trên bàn làm việc của bạn....",55000,55000,,0,0,335,,available,,1000,1000,,111461,OEM
